timestamp,ax,ay,az
0.0,0.028,0.264,0.373
0.005,0.044,0.321,0.375
0.01,0.079,0.4,0.229
0.015,0.205,0.444,0.4
0.02,0.244,0.367,0.372
0.025,0.212,0.538,0.388
0.03,0.379,0.519,0.508
0.035,0.472,0.459,0.438
0.04,0.287,0.502,0.405
0.045,0.417,0.579,0.405
0.05,0.528,0.581,0.439
0.055,0.538,0.497,0.428
0.06,0.55,0.541,0.482
0.065,0.572,0.544,0.378
0.07,0.54,0.625,0.405
0.075,0.71,0.675,0.398
0.08,0.737,0.588,0.29
0.085,0.666,0.613,0.319
0.09,0.804,0.578,0.313
0.095,0.757,0.558,0.31
0.1,0.879,0.504,0.324
0.105,0.789,0.498,0.256
0.11,0.786,0.605,0.231
0.115,0.823,0.519,0.066
0.12,0.829,0.505,0.218
0.125,0.778,0.429,0.085
0.13,0.697,0.467,0.112
0.135,0.821,0.477,0.098
0.14,0.68,0.372,0.095
0.145,0.692,0.363,0.129
0.15,0.782,0.307,-0.01
0.155,0.59,0.185,-0.029
0.16,0.627,0.175,-0.11
0.165,0.62,0.16,-0.044
0.17,0.586,0.199,-0.099
0.175,0.552,0.131,-0.177
0.18,0.539,0.097,-0.144
0.185,0.502,0.105,-0.159
0.19,0.381,-0.129,-0.198
0.195,0.323,-0.031,-0.239
0.2,0.306,-0.077,-0.278
0.205,0.276,-0.055,-0.296
0.21,0.222,-0.13,-0.303
0.215,0.175,-0.213,-0.312
0.22,0.181,-0.18,-0.286
0.225,0.019,-0.383,-0.381
0.23,-0.069,-0.329,-0.353
0.235,-0.073,-0.347,-0.429
0.24,-0.082,-0.328,-0.414
0.245,-0.106,-0.429,-0.42
0.25,-0.255,-0.418,-0.466
0.255,-0.312,-0.479,-0.374
0.26,-0.294,-0.496,-0.458
0.265,-0.351,-0.509,-0.397
0.27,-0.458,-0.591,-0.379
0.275,-0.53,-0.558,-0.379
0.28,-0.548,-0.573,-0.481
0.285,-0.672,-0.533,-0.562
0.29,-0.554,-0.594,-0.357
0.295,-0.539,-0.557,-0.413
0.3,-0.687,-0.628,-0.385
0.305,-0.772,-0.573,-0.318
0.31,-0.738,-0.681,-0.321
0.315,-0.697,-0.585,-0.34
0.32,-0.791,-0.489,-0.258
0.325,-0.785,-0.598,-0.281
0.33,-0.801,-0.528,-0.274
0.335,-0.765,-0.481,-0.234
0.34,-0.812,-0.463,-0.201
0.345,-0.733,-0.523,-0.141
0.35,-0.691,-0.429,-0.171
0.355,-0.889,-0.593,-0.115
0.36,-0.764,-0.456,-0.077
0.365,-0.824,-0.385,-0.009
0.37,-0.71,-0.331,-0.115
0.375,-0.746,-0.347,0.06
0.38,-0.639,-0.324,-0.009
0.385,-0.67,-0.361,-0.029
0.39,-0.591,-0.286,-0.012
0.395,-0.627,-0.228,0.029
0.4,-0.578,-0.223,0.126
0.405,-0.546,0.032,0.067
0.41,-0.443,-0.079,0.136
0.415,-0.502,-0.018,0.199
0.42,-0.436,0.021,0.223
0.425,-0.32,0.08,0.209
0.43,-0.257,0.061,0.326
0.435,-0.206,0.121,0.236
0.44,-0.127,0.17,0.318
0.445,-0.193,0.225,0.32
0.45,-0.176,0.308,0.357
0.455,-0.034,0.234,0.389
0.46,-0.039,0.32,0.392
0.465,-0.002,0.249,0.408
0.47,0.114,0.347,0.401
0.475,0.234,0.459,0.395
0.48,0.305,0.347,0.372
0.485,0.323,0.475,0.326
0.49,0.343,0.49,0.305
0.495,0.331,0.533,0.396
0.5,0.441,0.52,0.42
0.505,0.514,0.555,0.456
0.51,0.539,0.635,0.341
0.515,0.528,0.517,0.359
0.52,0.584,0.618,0.374
0.525,0.622,0.67,0.364
0.53,0.671,0.673,0.344
0.535,0.632,0.583,0.319
0.54,0.728,0.647,0.323
0.545,0.719,0.535,0.387
0.55,0.772,0.52,0.264
0.555,0.778,0.6,0.314
0.56,0.835,0.539,0.261
0.565,0.756,0.586,0.27
0.57,0.827,0.57,0.264
0.575,0.801,0.55,0.281
0.58,0.834,0.489,0.185
0.585,0.787,0.435,0.047
0.59,0.846,0.443,0.143
0.595,0.768,0.393,0.065
0.6,0.803,0.384,0.103
0.605,0.684,0.354,-0.004
0.61,0.732,0.34,-0.009
0.615,0.647,0.258,0.054
0.62,0.614,0.205,-0.077
0.625,0.689,0.199,-0.11
0.63,0.562,0.19,-0.024
0.635,0.518,0.074,-0.15
0.64,0.495,0.097,-0.173
0.645,0.412,0.076,-0.165
0.65,0.39,-0.106,-0.246
0.655,0.327,-0.051,-0.276
0.66,0.315,-0.096,-0.284
0.665,0.222,-0.168,-0.268
0.67,0.191,-0.217,-0.198
0.675,0.136,-0.267,-0.208
0.68,0.05,-0.357,-0.252
0.685,0.045,-0.353,-0.285
0.69,-0.03,-0.267,-0.382
0.695,-0.08,-0.289,-0.337
0.7,-0.147,-0.468,-0.326
0.705,-0.161,-0.416,-0.256
0.71,-0.218,-0.458,-0.356
0.715,-0.329,-0.454,-0.373
0.72,-0.276,-0.468,-0.399
0.725,-0.363,-0.573,-0.461
0.73,-0.448,-0.517,-0.472
0.735,-0.541,-0.56,-0.385
